Original,Normalisasi
ketimbang,daripada
yg,yang
jd,jadi
ga,tidak
lo,kamu
mo,mau
mw,mau
nangis,tangis
ngaret,karet
bgt,banget
wihhhh,wih
oi,hei
km,kamu
mali,malu
bener,benar
babon,babu
napas,nafas
yaa,iya
kaya,kayak
bgt,banget
aja,saja
kai,kai
kalo,kalau
stat,stasiun
jabo,jabodebek
kl,kalau
1,satu
yaa,ya
bgt ,banget
kaya,kayak
napas,nafas
announcement,pengumuman
trus,terus
utk,untuk
diganti2,diganti
buru2,buru-buru
euy,hei
nggak ,tidak
fomo,ikut
bjir,anjir
view,pemandangan
cuan,uang
first,pertama
time,waktu
realll,nyata
laah,lah
kerenn,keren
bangett,banget
or,atau
si,sih
sy,saya
2,dua
tp,tapi
on,tepat
time,waktu
min,admin
hadeuhhh,aduh
gak,tidak
goodjob,kerja bagus
dkt,dekat
rmh,rumah
udh,sudah
jir,anjir
bot,robot
thanks,terima kasih
security,satpam
sta,stasiun
jtbng,jatibening
smg,semoga
smkn,semakin
gue,aku
mimin,admin
gituuuu,begitu
ket,keterangan
dpt,dapat
krn,karena
dr,dari
ya,iya
keitung,kehitung
klo,kalau
real,nyata
bapuk,basi
amp,sampai
ja,saja
kringet,keringat
dehh,deh
udah,sudah
gokil,lucu
feature,fitur
water,air
lu,kamu
gercep,cepat
weyyyy,hei
abiiiss,habis
gw,aku
makk,ibu
sebel,sebal
beloman,belum
ajeeee,saja
gimana,bagaimana
pake,pakai
malem,malam
makasih,terima kasih
update,pembaruan
nggak ,tidak
beneran,benaran
sampe,sampai
dibenerin,dibenarin
benerin,benarin
hajarmukti,harjamukti
pelyanan,pelayanan
tetep,tetap
ttp,tetap
dipersingkat,disingkat
nunggunya,tunggunya
diandelin,diandalin
commuter,komuter
line,jalur
bermasalah,masalah
manteb,mantap
nyambung,sambung
stop,berhenti
kagak,tidak
ancur,hancur
abis,habis
ujan,hujan
anjer,anjir
kenape,kenapa
ni,ini
aje,saja
cepet,cepat
sept,september
abiiiss,anjing
